epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
37,1616.73,0.86165,0.43769,0.05781,0.4242,1.98563,0.97402,0.99988,0.99434,0.65039,0.97402,0.99988,0.99434,0.86651,1.33751,0.70969,0.0475,0.52084,2.70686,0.0005744,0.0005744,0.0005744
38,1659.96,0.85216,0.44153,0.04548,0.41133,1.95341,0.98552,1,0.99487,0.67567,0.97233,0.98667,0.98772,0.89237,1.21271,0.66951,0.04533,0.49102,2.48854,0.0005348,0.0005348,0.0005348
39,1703.69,0.84612,0.43127,0.05868,0.39846,1.94384,0.9781,0.98667,0.99422,0.62548,0.96468,0.97333,0.98885,0.90449,1.40611,0.6782,0.04552,0.52445,2.89183,0.0004952,0.0004952,0.0004952
40,1746.16,0.82354,0.42517,0.05426,0.39266,1.93044,0.99475,0.97333,0.99413,0.62287,0.98112,0.96,0.98566,0.90432,1.41375,0.68036,0.0507,0.56295,2.78597,0.0004556,0.0004556,0.0004556
41,1789.5,0.8279,0.42937,0.05661,0.38759,1.91399,0.98172,0.98667,0.99436,0.62984,0.98172,0.98667,0.99436,0.90557,1.36293,0.6603,0.04913,0.53151,2.78262,0.000416,0.000416,0.000416
42,1833.44,0.80379,0.4072,0.04447,0.37841,1.89118,0.98667,0.98662,0.99088,0.68103,0.98667,0.98662,0.99422,0.89919,1.23449,0.65698,0.05031,0.52052,2.51932,0.0003764,0.0003764,0.0003764
43,1876.36,0.77185,0.41915,0.05148,0.38393,1.84388,0.98608,0.98667,0.99355,0.65452,0.98608,0.98667,0.99448,0.90578,1.31438,0.6552,0.05056,0.52715,2.74879,0.0003368,0.0003368,0.0003368
44,1919.55,0.75299,0.40344,0.04983,0.37634,1.82913,0.99445,0.97333,0.99423,0.67156,0.98082,0.96,0.98666,0.91084,1.24717,0.63819,0.04304,0.50309,2.5782,0.0002972,0.0002972,0.0002972
45,1962.44,0.75756,0.40779,0.06792,0.37298,1.82834,0.97221,0.97333,0.98711,0.65709,0.97221,0.97333,0.9867,0.91134,1.2873,0.63893,0.04281,0.52482,2.62491,0.0002576,0.0002576,0.0002576
46,2005.54,0.75017,0.39856,0.03198,0.37362,1.81415,0.98304,0.98667,0.99436,0.66305,0.96975,0.97333,0.98558,0.91303,1.28878,0.6347,0.04299,0.50785,2.65193,0.000218,0.000218,0.000218
47,2048.5,0.75138,0.39915,0.04962,0.39201,1.80627,0.99077,0.98667,0.99437,0.66705,0.97712,0.97333,0.98496,0.90145,1.27135,0.6521,0.04429,0.50355,2.60239,0.0001784,0.0001784,0.0001784
48,2091.51,0.74541,0.38592,0.03896,0.36903,1.80309,0.99841,0.98667,0.99437,0.67242,0.98492,0.97333,0.98499,0.89768,1.2487,0.65516,0.04538,0.49482,2.56796,0.0001388,0.0001388,0.0001388
49,2134.25,0.72219,0.3831,0.052,0.35956,1.76535,0.99487,0.98667,0.99462,0.68424,0.98127,0.97333,0.98604,0.90711,1.23023,0.64157,0.04556,0.48793,2.57035,9.92e-05,9.92e-05,9.92e-05
50,2177.53,0.71265,0.38091,0.03669,0.36046,1.75677,0.99409,0.98667,0.99462,0.68201,0.98049,0.97333,0.98588,0.90799,1.23889,0.63775,0.04545,0.49375,2.58476,5.96e-05,5.96e-05,5.96e-05
